layer,baseline_f1,ablated_f1,f1_drop
0,0.9082671099708792,0.909145842427868,-0.0008787324569887733
1,0.9082671099708792,0.9081868965219414,8.0213448937827e-05
2,0.9082671099708792,0.9065690723193813,0.0016980376514978968
3,0.9082671099708792,0.9074662540400054,0.0008008559308738672
4,0.9082671099708792,0.9071189948028608,0.001148115168018382
5,0.9082671099708792,0.909259333948941,-0.000992223978061757
6,0.9082671099708792,0.9092972863177968,-0.0010301763469175995
7,0.9082671099708792,0.9089636749255684,-0.0006965649546891717
8,0.9082671099708792,0.9082275841702936,3.952580058563804e-05
9,0.9082671099708792,0.9077520856346161,0.000515024336263159
10,0.9082671099708792,0.9078784500790829,0.0003886598917963724
11,0.9082671099708792,0.9060943542702812,0.0021727557005980502
